#                                                  FILE       SIZE         cksum         sum  solarissum
                        orleans_stride.aix5.1_v.2.4.0.2      90415    3261507141       12047        6902
                      orleans_stride.sunos5.8_v.2.4.0.2      57004    2400511526       36957       11303
                      orleans_stride.sunos5.9_v.2.4.0.2      57296    2368896150       06460       36431
                      orleans_stride.sunos5.8_v.2.5.0.2      61488    3855523192       48044       17376
                        orleans_stride.aix5.1_v.2.5.0.2     100209    2743678155       53364       41505
                      orleans_stride.sunos5.8_v.3.0.0.1     152180    2373394418       09231        1899
                        orleans_stride.aix5.1_v.3.0.0.1     191057    2741854458       33921       13751
                      orleans_stride.sunos5.8_v.3.1.0.1     172804    1365017728       52246       45641
                        orleans_stride.aix5.1_v.3.1.0.1     214661    2767675038       39448       47734
                      orleans_stride.sunos5.8_v.2.5.2.7      71288    2487439107       21537       14698
                        orleans_stride.aix5.1_v.2.5.2.7     109013    4171261320       28337       20504
                      orleans_stride.sunos5.8_v.2.5.1.9      66656    2265926621       34276        6908
                        orleans_stride.aix5.1_v.2.5.1.9     105285    3794444431       53017       48496
                           orleans_tride.sunos5.8_v.2.0      38312    2666598478       27891       14024
                        orleans_tride_v2.2_aix5.1_v.2.2      81971    2383423910       41269       60017
                      orleans_stride.0.0.sunos5.8_v.2.3      50756    1895700473       25122       44666
                                   sift.linux_v.2.0.1.1     180340    1242274982       15433        4920
                             sift.solaris.x86_v.2.0.1.1     160560    3699147297       46604       53831
                           sift.solaris.sparc_v.2.0.1.1     176460       7510671       07413       21395
                       sift_-freebsd_5.0-i386_v.2.1.0.0     131945    3232867918       64957       17254
                       sift_-freebsd_6.0-i386_v.2.1.0.0     134505    1202892760       56779       35024
                       sift_-freebsd_7.0-i386_v.2.1.0.0     134249     753372013       52320       22685
                             sift_-linux-i386_v.2.1.0.0     148373    1474261045       08203       54880
                      sift_-solaris_2.7-sparc_v.2.1.0.0     142744    2327337718       07123       64245
                     sift_-freebsd_7.0-x86_64_v.2.1.0.0     166545     461345343       39095       62942
                       sift_-solaris_2.8-i386_v.2.1.0.0     148568    2809700053       54275       43774
                           sift_-linux-x86_64_v.2.1.0.0     171313    3221542206       20315       15784
                         skimcountry.sunos5.8_v.2.0.0.3     149916    1621673867       56926       19684
                           skimcountry.aix5.1_v.2.0.0.3     203776    3254804545       10599       32810
              skimcountry__flx.aix5.1.powerpc_v.1.0.0.4     270833     591709200       28185       10148
              skimcountry__flx.aix5.1.powerpc_v.1.0.1.1     276901     515577067       26565       39849
                             skimcountry.sunos5.9_v.1.2      67224    1523123911       39003       62169
      skimcountry.v1.3.0.2.sunos5.8_v.1.3.0.2_solaris_8      57640    1678541867       43873       32216
      skimcountry.v1.3.0.2.sunos5.9_v.1.3.0.2_solaris_9      57864    1509708895       42860       51185
                        skimcountry.sunos5.8_v.1.4.0.10      64860    1079665595       20385       21070
                          skimcountry.aix5.1_v.1.4.0.10     104337    2161640150       52999       25524
                            watcher.x86.linux_v.2.5.0.1     104672    3111397216       53579       55992
                        watcher.solaris.sparc_v.2.5.0.1     120568     971863888       44784       46401
                           watcher.i386-linux_v.2.6.0.1     192200    1076630491       60708       18102
                 watcher.sparc-sun-solaris2.6_v.2.6.0.1     207312    2415279614       45058       38210
                 watcher.sparc-sun-solaris2.6_v.2.6.1.1     207384     857504225       56198        8566
                           watcher.i386-linux_v.2.6.1.1     181652    2024342350       51495       50424
                          watcher.x86-solaris_v.2.7.0.0     183104     212834410       20162       59905
                        watcher.sparc-solaris_v.2.7.0.0     181432     539214264       54017       52203
                            watcher.x86-linux_v.2.7.0.0      27464    1148853217       18795       18553
                 watcher-2.7.1.0-solaris-i386_v.2.7.1.0     177009    3909456023       10008       46350
                   watcher-2.7.1.0-linux-i386_v.2.7.1.0     196853    1959993309       13481       18785
                                        store_v.2.7.1.0      20408    3840550843       26985       14959
                watcher-2.7.1.0-solaris-sparc_v.2.7.1.0     189924    3276194765       00740       62364
                watcher-3.0.0.1-solaris-sparc_v.3.0.0.1     233684    1693570961       29770       49373
                 watcher-3.0.0.1-solaris-i386_v.3.0.0.1     215089     743185867       32352       39750
                                        store_v.3.0.0.1      18761    3619753665       12486       36058
                   watcher-3.0.0.1-linux-i386_v.3.0.0.1     234261    1527079268       45157        6957
                             store-linux-i386_v.3.1.0.1      19081    3448365223       22537       58243
                           watcher-linux-i386_v.3.1.0.1     239541     225557987       43585       48399
                         watcher-linux-x86_64_v.3.1.0.1     283993    1434499381       64004       20087
                        watcher-solaris-sparc_v.3.1.0.1     238012    1235764597       22839       35561
                         watcher-solaris-i386_v.3.1.0.1     239921    3180531025       61338       48037
                             store-linux-i386_v.3.1.1.2      19081    4046454450       57236       58067
                           watcher-linux-i386_v.3.1.1.2     240245    4137883497       27567       61892
                         watcher-linux-x86_64_v.3.1.1.2     283993     445808546       45899       51305
                        watcher-solaris-sparc_v.3.1.1.2     238700    3123728883       65114       59049
                         watcher-solaris-i386_v.3.1.1.2     240689    1896067598       54991       52090
                             store-linux-i386_v.3.2.0.1      19081    3859061399       26804       57751
                           watcher-linux-i386_v.3.2.0.1     247221    1290560138       55884       54861
                         watcher-linux-x86_64_v.3.2.0.1     292185    1865728922       45347       41273
                        watcher-solaris-sparc_v.3.2.0.1     245364     345828695       56969       15267
                         watcher-solaris-i386_v.3.2.0.1     247889    1993261621       24880       16141
